seq,time_ms,state,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,altitude_m,batt_mv,gps_fix,lat_deg,lon_deg,crc16
0,0,PRELAUNCH,-0.005,0.010,0.989,0.032,1.073,0.026,1013.25,0.00,8400,0,34.000000,-81.000000,2061
1,100,PRELAUNCH,-0.001,0.017,1.010,0.009,1.135,0.033,1013.25,0.03,8400,0,34.000002,-81.000001,1792
2,200,PRELAUNCH,-0.002,0.011,1.000,0.136,1.139,-0.001,1013.24,0.06,8400,0,34.000003,-81.000002,140A
3,300,PRELAUNCH,0.002,0.026,0.989,0.183,1.104,0.079,1013.24,0.08,8399,0,34.000005,-81.000004,8468
4,400,PRELAUNCH,0.009,0.010,1.024,0.239,1.122,0.099,1013.24,0.11,8399,0,34.000006,-81.000005,913F
5,500,PRELAUNCH,0.016,0.018,0.980,0.241,1.055,0.148,1013.23,0.13,8398,0,34.000008,-81.000006,71BF
6,600,PRELAUNCH,0.003,0.008,1.020,0.343,1.078,0.108,1013.23,0.14,8398,0,34.000009,-81.000007,2FFB
7,700,PRELAUNCH,0.004,0.017,1.013,0.396,1.014,0.140,1013.23,0.15,8398,0,34.000011,-81.000008,7FBF
8,800,PRELAUNCH,0.002,0.025,1.012,0.370,1.090,0.127,1013.23,0.15,8397,0,34.000012,-81.000010,023D
9,900,PRELAUNCH,0.016,0.013,0.978,0.480,1.057,0.145,1013.23,0.15,8397,0,34.000014,-81.000011,1194
10,1000,PRELAUNCH,0.023,0.015,0.976,0.482,0.964,0.243,1013.23,0.14,8396,0,34.000015,-81.000012,8E02
11,1100,PRELAUNCH,0.013,0.008,0.976,0.572,0.965,0.204,1013.24,0.12,8396,0,34.000017,-81.000013,5479
12,1200,PRELAUNCH,0.016,0.008,1.008,0.616,0.959,0.283,1013.24,0.10,8396,0,34.000018,-81.000014,D1FF
13,1300,PRELAUNCH,0.017,0.016,0.981,0.648,0.998,0.304,1013.24,0.08,8395,0,34.000020,-81.000016,4B56
14,1400,PRELAUNCH,0.012,0.020,0.993,0.727,0.926,0.306,1013.24,0.05,8395,0,34.000021,-81.000017,3444
15,1500,PRELAUNCH,0.020,0.002,1.021,0.728,0.934,0.305,1013.25,0.02,8394,0,34.000023,-81.000018,90F8
16,1600,PRELAUNCH,0.018,0.002,1.025,0.765,0.894,0.324,1013.25,-0.01,8394,0,34.000024,-81.000019,D13F
17,1700,PRELAUNCH,0.025,0.012,1.015,0.849,0.819,0.301,1013.25,-0.04,8394,0,34.000025,-81.000020,B8D9
18,1800,PRELAUNCH,0.017,0.011,1.008,0.869,0.780,0.357,1013.26,-0.07,8393,0,34.000027,-81.000022,81EB
19,1900,PRELAUNCH,0.015,0.014,1.014,0.904,0.838,0.380,1013.26,-0.09,8393,0,34.000028,-81.000023,6DAE
20,2000,PRELAUNCH,0.025,0.004,0.989,1.013,0.743,0.398,1013.26,-0.11,8392,0,34.000030,-81.000024,0E98
21,2100,PRELAUNCH,0.019,0.010,1.011,1.052,0.691,0.416,1013.27,-0.13,8392,0,34.000031,-81.000025,56E2
22,2200,PRELAUNCH,0.022,0.002,1.012,1.020,0.745,0.416,1013.27,-0.14,8392,0,34.000033,-81.000026,B281
23,2300,PRELAUNCH,0.015,0.006,0.986,1.079,0.692,0.474,1013.27,-0.15,8391,0,34.000034,-81.000028,2E02
24,2400,PRELAUNCH,0.023,0.006,1.013,1.124,0.599,0.492,1013.27,-0.15,8391,0,34.000036,-81.000029,39F0
25,2500,PRELAUNCH,0.014,-0.000,0.980,1.119,0.592,0.455,1013.27,-0.14,8390,0,34.000037,-81.000030,E2A8
26,2600,PRELAUNCH,0.021,-0.009,1.005,1.155,0.530,0.472,1013.27,-0.13,8390,0,34.000039,-81.000031,2D96
27,2700,PRELAUNCH,0.022,-0.007,1.006,1.189,0.489,0.488,1013.26,-0.12,8390,0,34.000040,-81.000032,1245
28,2800,PRELAUNCH,0.022,-0.009,0.992,1.293,0.465,0.516,1013.26,-0.09,8389,0,34.000042,-81.000034,43DC
29,2900,PRELAUNCH,0.009,-0.011,0.994,1.239,0.461,0.510,1013.26,-0.07,8389,0,34.000043,-81.000035,BE2E
30,3000,PRELAUNCH,0.020,-0.009,0.977,1.271,0.389,0.497,1013.26,-0.04,8388,0,34.000045,-81.000036,D530
31,3100,PRELAUNCH,0.005,-0.000,0.979,1.359,0.350,0.555,1013.25,-0.01,8388,1,34.000047,-81.000037,BED7
32,3200,PRELAUNCH,0.003,-0.005,0.986,1.306,0.355,0.607,1013.25,0.02,8388,1,34.000048,-81.000038,B011
33,3300,PRELAUNCH,0.015,-0.015,1.003,1.351,0.311,0.594,1013.24,0.05,8387,1,34.000050,-81.000040,81A9
34,3400,PRELAUNCH,-0.001,-0.008,0.987,1.366,0.247,0.575,1013.24,0.07,8387,1,34.000051,-81.000041,2CA7
35,3500,PRELAUNCH,0.005,-0.014,1.015,1.437,0.148,0.573,1013.24,0.10,8386,1,34.000053,-81.000042,87B4
36,3600,PRELAUNCH,0.009,-0.004,0.987,1.406,0.124,0.606,1013.24,0.12,8386,1,34.000054,-81.000043,8455
37,3700,PRELAUNCH,0.009,-0.013,1.015,1.477,0.068,0.636,1013.23,0.13,8386,1,34.000056,-81.000044,91C7
38,3800,PRELAUNCH,0.009,-0.005,1.023,1.435,0.077,0.601,1013.23,0.15,8385,1,34.000057,-81.000046,1F06
39,3900,PRELAUNCH,0.003,-0.007,1.004,1.486,-0.031,0.626,1013.23,0.15,8385,1,34.000059,-81.000047,4853
40,4000,PRELAUNCH,-0.006,-0.020,1.011,1.515,-0.038,0.715,1013.23,0.15,8384,1,34.000060,-81.000048,5FA3
41,4100,PRELAUNCH,0.006,-0.014,0.979,1.524,-0.077,0.638,1013.23,0.14,8384,1,34.000062,-81.000049,3904
42,4200,PRELAUNCH,-0.006,-0.019,0.998,1.464,-0.078,0.706,1013.23,0.13,8384,1,34.000063,-81.000050,77AD
43,4300,PRELAUNCH,0.003,-0.014,1.006,1.535,-0.152,0.750,1013.24,0.11,8383,1,34.000065,-81.000052,4FA7
44,4400,PRELAUNCH,-0.017,-0.023,1.014,1.511,-0.227,0.693,1013.24,0.09,8383,1,34.000066,-81.000053,004D
45,4500,PRELAUNCH,-0.003,-0.020,0.990,1.541,-0.298,0.729,1013.24,0.06,8382,1,34.000068,-81.000054,5CBC
46,4600,PRELAUNCH,-0.006,-0.025,0.977,1.523,-0.305,0.706,1013.25,0.03,8382,1,34.000069,-81.000055,7DCF
47,4700,PRELAUNCH,-0.012,-0.016,1.017,1.534,-0.314,0.692,1013.25,0.00,8382,1,34.000070,-81.000056,B1FC
48,4800,PRELAUNCH,-0.009,-0.023,0.998,1.536,-0.414,0.719,1013.25,-0.03,8381,1,34.000072,-81.000058,7EB6
49,4900,PRELAUNCH,-0.018,-0.022,1.000,1.446,-0.404,0.788,1013.26,-0.05,8381,1,34.000073,-81.000059,CD6D
50,5000,PRELAUNCH,-0.025,-0.018,0.986,1.513,-0.438,0.776,1013.26,-0.08,8380,1,34.000075,-81.000060,8449
51,5100,PRELAUNCH,-0.010,-0.023,1.018,1.501,-0.486,0.775,1013.26,-0.10,8380,1,34.000076,-81.000061,0AD3
52,5200,PRELAUNCH,-0.013,-0.022,0.992,1.467,-0.561,0.722,1013.26,-0.12,8380,1,34.000078,-81.000062,CED8
53,5300,PRELAUNCH,-0.014,-0.027,1.001,1.446,-0.533,0.756,1013.27,-0.14,8379,1,34.000079,-81.000064,8181
54,5400,PRELAUNCH,-0.026,-0.009,0.994,1.397,-0.574,0.810,1013.27,-0.15,8379,1,34.000081,-81.000065,AE41
55,5500,PRELAUNCH,-0.023,-0.014,0.993,1.372,-0.696,0.819,1013.27,-0.15,8378,1,34.000082,-81.000066,7064
56,5600,PRELAUNCH,-0.018,-0.013,0.998,1.412,-0.684,0.779,1013.27,-0.15,8378,1,34.000084,-81.000067,C98A
57,5700,PRELAUNCH,-0.014,-0.026,1.014,1.404,-0.749,0.796,1013.27,-0.14,8378,1,34.000085,-81.000068,80A9
58,5800,PRELAUNCH,-0.014,-0.017,1.006,1.323,-0.707,0.834,1013.26,-0.12,8377,1,34.000087,-81.000070,6A7B
59,5900,PRELAUNCH,-0.021,-0.013,1.005,1.273,-0.800,0.834,1013.26,-0.10,8377,1,34.000088,-81.000071,41BF
60,6000,PRELAUNCH,-0.013,-0.011,1.006,1.315,-0.802,0.805,1013.26,-0.08,8376,1,34.000090,-81.000072,6E9A
61,6100,PRELAUNCH,-0.027,-0.022,1.019,1.218,-0.813,0.767,1013.26,-0.05,8376,1,34.000092,-81.000073,E3FA
62,6200,PRELAUNCH,-0.011,-0.022,0.978,1.206,-0.905,0.799,1013.25,-0.02,8376,1,34.000093,-81.000074,D40D
63,6300,PRELAUNCH,-0.012,-0.017,0.984,1.208,-0.870,0.775,1013.25,0.01,8375,1,34.000095,-81.000076,D8E1
64,6400,PRELAUNCH,-0.026,-0.021,0.985,1.205,-0.927,0.805,1013.25,0.03,8375,1,34.000096,-81.000077,6191
65,6500,PRELAUNCH,-0.024,-0.004,0.996,1.180,-0.938,0.835,1013.24,0.06,8374,1,34.000098,-81.000078,6EB9
66,6600,PRELAUNCH,-0.018,-0.008,0.990,1.075,-0.920,0.837,1013.24,0.09,8374,1,34.000099,-81.000079,7F7F
67,6700,PRELAUNCH,-0.026,-0.019,0.994,1.062,-0.937,0.786,1013.24,0.11,8374,1,34.000101,-81.000080,5808
68,6800,PRELAUNCH,-0.019,-0.007,0.982,1.045,-0.977,0.744,1013.23,0.13,8373,1,34.000102,-81.000082,4309
69,6900,PRELAUNCH,-0.019,-0.015,1.024,0.981,-0.976,0.790,1013.23,0.14,8373,1,34.000104,-81.000083,68D2
70,7000,PRELAUNCH,-0.016,-0.004,0.985,0.981,-0.989,0.783,1013.23,0.15,8372,1,34.000105,-81.000084,B5E3
71,7100,PRELAUNCH,-0.017,-0.009,0.975,0.919,-1.032,0.792,1013.23,0.15,8372,1,34.000107,-81.000085,F708
72,7200,PRELAUNCH,-0.007,-0.005,0.987,0.836,-1.019,0.735,1013.23,0.14,8372,1,34.000108,-81.000086,9D32
73,7300,PRELAUNCH,-0.016,-0.002,0.987,0.822,-1.108,0.745,1013.23,0.13,8371,1,34.000110,-81.000088,DCC3
74,7400,PRELAUNCH,-0.017,-0.015,0.985,0.795,-1.126,0.738,1013.24,0.12,8371,1,34.000111,-81.000089,7E26
75,7500,PRELAUNCH,-0.010,-0.013,1.014,0.788,-1.065,0.750,1013.24,0.10,8370,1,34.000113,-81.000090,1F5A
76,7600,PRELAUNCH,-0.004,0.007,0.984,0.669,-1.135,0.797,1013.24,0.07,8370,1,34.000114,-81.000091,F26F
77,7700,PRELAUNCH,-0.006,-0.009,0.989,0.624,-1.145,0.744,1013.24,0.05,8370,1,34.000115,-81.000092,391B
78,7800,PRELAUNCH,-0.010,0.004,0.982,0.614,-1.071,0.783,1013.25,0.02,8369,1,34.000117,-81.000094,F4CB
79,7900,PRELAUNCH,-0.003,-0.007,1.008,0.511,-1.056,0.718,1013.25,-0.01,8369,1,34.000118,-81.000095,252B
80,8000,PRELAUNCH,-0.003,-0.003,1.022,0.457,-1.053,0.752,1013.26,-0.04,8368,1,34.000120,-81.000096,5C50
81,8100,PRELAUNCH,-0.005,0.007,1.015,0.423,-1.099,0.712,1013.26,-0.07,8368,1,34.000121,-81.000097,6F86
82,8200,PRELAUNCH,0.013,0.011,1.007,0.363,-1.051,0.670,1013.26,-0.10,8368,1,34.000123,-81.000098,5A8F
83,8300,PRELAUNCH,0.013,0.012,1.014,0.384,-1.058,0.651,1013.26,-0.12,8367,1,34.000124,-81.000100,9408
84,8400,PRELAUNCH,0.009,0.008,0.985,0.310,-1.096,0.701,1013.27,-0.13,8367,1,34.000126,-81.000101,006B
85,8500,PRELAUNCH,0.002,0.010,1.004,0.253,-1.055,0.692,1013.27,-0.14,8366,1,34.000127,-81.000102,4522
86,8600,PRELAUNCH,0.010,0.001,1.000,0.168,-1.093,0.647,1013.27,-0.15,8366,1,34.000129,-81.000103,4708
87,8700,PRELAUNCH,0.012,-0.001,1.007,0.102,-1.057,0.611,1013.27,-0.15,8366,1,34.000130,-81.000104,0D37
88,8800,PRELAUNCH,0.004,0.010,1.010,0.064,-1.011,0.692,1013.27,-0.14,8365,1,34.000132,-81.000106,13B4
89,8900,PRELAUNCH,0.023,0.015,0.979,0.085,-1.038,0.636,1013.27,-0.13,8365,1,34.000133,-81.000107,6602
90,9000,PRELAUNCH,0.011,0.021,1.009,-0.017,-0.974,0.634,1013.26,-0.11,8364,1,34.000135,-81.000108,5A71
91,9100,PRELAUNCH,0.024,0.012,0.991,-0.062,-1.016,0.633,1013.26,-0.09,8364,1,34.000137,-81.000109,2AD6
92,9200,PRELAUNCH,0.010,0.015,1.009,-0.127,-0.993,0.627,1013.26,-0.07,8364,1,34.000138,-81.000110,7B71
93,9300,PRELAUNCH,0.015,0.017,1.024,-0.142,-0.894,0.607,1013.25,-0.04,8363,1,34.000140,-81.000112,49BF
94,9400,PRELAUNCH,0.025,0.021,0.992,-0.252,-0.910,0.537,1013.25,-0.01,8363,1,34.000141,-81.000113,734F
95,9500,PRELAUNCH,0.019,0.006,1.017,-0.237,-0.884,0.562,1013.25,0.02,8362,1,34.000143,-81.000114,08FF
96,9600,PRELAUNCH,0.015,0.025,1.003,-0.369,-0.826,0.501,1013.24,0.05,8362,1,34.000144,-81.000115,5E56
97,9700,PRELAUNCH,0.015,0.015,0.993,-0.387,-0.774,0.536,1013.24,0.08,8362,1,34.000146,-81.000116,5C63
98,9800,PRELAUNCH,0.018,0.010,0.990,-0.401,-0.780,0.504,1013.24,0.10,8361,1,34.000147,-81.000118,F199
99,9900,PRELAUNCH,0.028,0.025,0.984,-0.453,-0.797,0.513,1013.24,0.12,8361,1,34.000149,-81.000119,A88B
100,10000,ASCENT,0.014,0.009,1.318,-0.561,-0.691,0.467,1013.25,0.00,8360,1,34.000150,-81.000120,0B63
101,10100,ASCENT,0.019,0.024,1.338,-0.607,-0.723,0.470,1013.25,0.02,8360,1,34.000152,-81.000121,72B0
102,10200,ASCENT,0.014,0.011,1.336,-0.662,-0.684,0.418,1013.24,0.10,8360,1,34.000153,-81.000122,6F42
103,10300,ASCENT,0.010,0.013,1.331,-0.687,-0.612,0.432,1013.22,0.22,8359,1,34.000155,-81.000124,B19F
104,10400,ASCENT,0.019,0.011,1.312,-0.731,-0.595,0.460,1013.20,0.40,8359,1,34.000156,-81.000125,1A6E
105,10500,ASCENT,0.024,0.018,1.313,-0.784,-0.548,0.432,1013.18,0.62,8358,1,34.000158,-81.000126,C487
106,10600,ASCENT,0.019,0.009,1.340,-0.856,-0.469,0.404,1013.14,0.88,8358,1,34.000159,-81.000127,9EAD
107,10700,ASCENT,0.009,0.027,1.352,-0.855,-0.464,0.408,1013.11,1.20,8358,1,34.000160,-81.000128,8380
108,10800,ASCENT,0.016,0.008,1.360,-0.905,-0.375,0.391,1013.06,1.56,8357,1,34.000162,-81.000130,F633
109,10900,ASCENT,0.018,0.012,1.357,-0.934,-0.359,0.368,1013.01,1.97,8357,1,34.000163,-81.000131,FFA1
110,11000,ASCENT,0.012,0.007,1.334,-0.991,-0.384,0.330,1012.96,2.43,8356,1,34.000165,-81.000132,22C3
111,11100,ASCENT,0.017,0.020,1.318,-0.989,-0.276,0.333,1012.90,2.93,8356,1,34.000166,-81.000133,F9B6
112,11200,ASCENT,0.017,0.015,1.316,-1.063,-0.277,0.300,1012.83,3.48,8356,1,34.000168,-81.000134,1EAE
113,11300,ASCENT,0.014,0.007,1.328,-1.135,-0.260,0.276,1012.76,4.07,8355,1,34.000169,-81.000136,DCC3
114,11400,ASCENT,0.014,0.010,1.317,-1.162,-0.125,0.249,1012.68,4.71,8355,1,34.000171,-81.000137,8548
115,11500,ASCENT,-0.001,0.014,1.321,-1.182,-0.143,0.201,1012.60,5.39,8354,1,34.000172,-81.000138,BE3B
116,11600,ASCENT,-0.002,0.007,1.341,-1.179,-0.098,0.177,1012.52,6.12,8354,1,34.000174,-81.000139,E6D1
117,11700,ASCENT,-0.005,0.012,1.317,-1.258,-0.024,0.217,1012.42,6.89,8354,1,34.000175,-81.000140,3C5C
118,11800,ASCENT,-0.005,0.005,1.337,-1.261,-0.029,0.143,1012.33,7.70,8353,1,34.000177,-81.000142,BB51
119,11900,ASCENT,0.001,0.022,1.350,-1.308,0.014,0.092,1012.22,8.55,8353,1,34.000178,-81.000143,4D65
